"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kris Benson","Pirates","32","79","0","3","1","0","5.1%","36.7%",".031",".167",".092",".157",".123",".139","-33","0.0","-14.3","9.1","-0.2","982"
"Jeff Liefer","White Sox","5","11","0","0","0","0","0.0%","36.4%",".000",".286",".182",".182",".182",".164","-18","0.0","-1.8","-1.1","-0.2","245"
"Juan Melo","Giants","11","13","0","0","1","0","0.0%","38.5%",".000",".125",".077",".077",".077",".069","-73","0.0","-3.1","0.0","-0.2","1008752"
"Brian Tollberg","Padres","19","38","0","1","1","0","0.0%","28.9%",".000",".143",".094",".094",".094",".084","-60","0.0","-8.3","4.4","-0.2","1055"
"Paul Bako","- - -","81","251","2","18","20","0","10.8%","25.5%",".081",".308",".226",".312",".308",".268","53","0.0","-16.2","5.0","-0.2","676"
"Jason Schmidt","Pirates","11","22","0","1","0","0","4.5%","40.9%",".000",".000",".000",".050",".000",".036","-99","0.0","-6.0","2.5","-0.2","1131"
"Chris Gomez","Padres","33","64","0","4","3","0","10.9%","7.8%",".000",".240",".222",".306",".222",".256","49","0.0","-4.4","-0.4","-0.3","1208"
"Kurt Abbott","Mets","79","173","6","22","12","1","8.1%","29.5%",".172",".277",".217",".283",".389",".289","67","-0.2","-7.9","-0.5","-0.3","1000013"
"Felix Jose","Yankees","20","32","1","4","5","0","6.3%","28.1%",".103",".300",".241",".281",".345",".275","56","-0.5","-2.4","-1.5","-0.3","1610"
"Brad Penny","Marlins","24","46","0","2","2","0","0.0%","37.0%",".000",".179",".111",".111",".111",".100","-54","0.0","-9.6","5.3","-0.3","535"
"Mark Gardner","Giants","30","50","0","1","0","0","0.0%","44.0%",".000",".238",".116",".116",".116",".105","-51","0.0","-10.2","5.8","-0.3","1004529"
"Chuck Smith","Marlins","21","41","0","2","2","0","0.0%","46.3%",".000",".190",".100",".100",".100",".090","-60","0.0","-8.9","4.7","-0.3","1012114"
