,WAR,Age
625,4.1,29
626,6.1,30
627,2.6,31
628,0.7,32
629,-0.2,33
630,2.1,34
631,1.4,35
632,,
633,-0.3,27
634,-0.1,28
635,,
636,-0.7,23
637,-0.3,24
638,,
639,-0.5,23
640,0.30000000000000004,25
641,2.0999999999999996,26
642,0.6,27
643,0.8,28
644,0.0,29
645,4.2,30
646,-0.9999999999999999,31
647,0.0,32
648,-0.8999999999999999,33
649,,
650,0.0,23
651,2.4,24
652,-0.3,25
653,-1.8,26
654,2.0,27
655,2.4,28
656,0.5,29
657,1.3,30
658,,
659,-0.2,24
660,1.5,25
661,0.0,26
662,0.0,27
663,0.2,28
664,-0.1,29
665,-0.9,30
666,0.2,31
667,,
668,1.2,26
669,,
670,1.6,23
671,1.2,24
672,4.6,25
673,5.6,26
674,5.9,27
675,0.9,28
676,3.3,29
677,-1.9,30
678,4.8,31
679,2.3,32
680,0.3,33
681,-1.3,34
682,,
683,-0.3,18
684,-0.4,19
685,9.4,20
686,5.7,21
687,8.5,22
688,4.8,23
689,10.4,24
690,8.3,25
691,8.8,26
692,8.4,27
693,7.6,28
694,9.4,29
695,4.5,30
696,9.4,31
697,6.8,32
698,4.2,33
699,4.2,34
700,4.0,35
701,2.2,36
702,0.0,37
703,3.0,39
704,-1.2,40
705,,
706,0.3,23
707,-0.1,24
708,-0.5,25
709,-0.3,26
710,-0.3,27
711,-0.1,28
712,,
713,-0.4,21
714,0.4,22
715,3.2,23
