,WAR,Age,Previous War,2yr_war,ratio
372,1.9,29.0,0.4,0.7,0.11870503597122302
373,2.3,30.0,1.9,0.4,0.11870503597122302
374,3.8,31.0,2.3,1.9,0.11870503597122302
375,3.0,32.0,3.8,2.3,0.11870503597122302
376,0.2,33.0,3.0,3.8,0.11870503597122302
377,-0.5,34.0,0.2,3.0,0.11870503597122302
378,-1.4,25.0,-1.2000000000000002,-0.5,0.9223300970873788
379,4.0,26.0,-1.4,-1.2000000000000002,0.9223300970873788
380,5.0,27.0,4.0,-1.4,0.9223300970873788
381,3.7,28.0,5.0,4.0,0.9223300970873788
382,2.1,29.0,3.7,5.0,0.9223300970873788
383,4.5,30.0,2.1,3.7,0.9223300970873788
384,3.0,31.0,4.5,2.1,0.9223300970873788
385,0.4,32.0,3.0,4.5,0.9223300970873788
386,0.30000000000000004,33.0,0.4,3.0,0.9223300970873788
387,1.2999999999999998,34.0,0.30000000000000004,0.4,0.9223300970873788
388,-0.6000000000000001,35.0,1.2999999999999998,0.30000000000000004,0.9223300970873788
389,0.1,36.0,-0.6000000000000001,1.2999999999999998,0.9223300970873788
390,4.0,23.0,2.6,1.2,0.9602977667493796
391,2.8000000000000003,24.0,4.0,2.6,0.9602977667493796
392,4.7,25.0,2.8000000000000003,4.0,0.9602977667493796
393,3.6,26.0,4.7,2.8000000000000003,0.9602977667493796
394,1.4,27.0,3.6,4.7,0.9602977667493796
395,2.3,28.0,1.4,3.6,0.9602977667493796
396,4.5,29.0,2.3,1.4,0.9602977667493796
397,3.5,30.0,4.5,2.3,0.9602977667493796
398,0.9,31.0,3.5,4.5,0.9602977667493796
399,0.7,32.0,0.9,3.5,0.9602977667493796
400,-2.5,33.0,0.7,0.9,0.9602977667493796
401,1.7,34.0,-2.5,0.7,0.9602977667493796
402,-0.8,26.0,-3.3000000000000003,0.2,0.38461538461538464
403,8.4,25.0,5.6,2.9,0.9811676082862524
404,2.3,26.0,8.4,5.6,0.9811676082862524
405,2.4,27.0,2.3,8.4,0.9811676082862524
406,3.5,28.0,2.4,2.3,0.9811676082862524
407,3.4,29.0,3.5,2.4,0.9811676082862524
408,3.3000000000000003,30.0,3.4,3.5,0.9811676082862524
409,3.1,31.0,3.3000000000000003,3.4,0.9811676082862524
410,1.2000000000000002,32.0,3.1,3.3000000000000003,0.9811676082862524
411,6.2,33.0,1.2000000000000002,3.1,0.9811676082862524
412,1.8,34.0,6.2,1.2000000000000002,0.9811676082862524
413,3.7,35.0,1.8,6.2,0.9811676082862524
414,2.2,36.0,3.7,1.8,0.9811676082862524
415,3.4,37.0,2.2,3.7,0.9811676082862524
416,2.6,38.0,3.4,2.2,0.9811676082862524
417,2.2,40.0,2.6,3.4,0.9811676082862524
418,2.3,41.0,2.2,2.6,0.9811676082862524
419,-0.4,24.0,-1.2,2.3,0.0
420,-1.8,26.0,1.6,0.7999999999999999,0.6060606060606061
421,0.2,27.0,-1.8,1.6,0.6060606060606061
422,-0.4,28.0,0.2,-1.8,0.6060606060606061
423,-0.4,24.0,0.3,3.4000000000000004,0.9321533923303836
424,1.5,25.0,-0.4,0.3,0.9321533923303836
425,2.8000000000000003,26.0,1.5,-0.4,0.9321533923303836
426,3.7,27.0,2.8000000000000003,1.5,0.9321533923303836
427,2.9,28.0,3.7,2.8000000000000003,0.9321533923303836
428,6.1,29.0,2.9,3.7,0.9321533923303836
429,2.4,30.0,6.1,2.9,0.9321533923303836
430,0.1,31.0,2.4,6.1,0.9321533923303836
431,-1.0,32.0,0.1,2.4,0.9321533923303836
432,-0.7,33.0,-1.0,0.1,0.9321533923303836
433,2.7,34.0,-0.7,-1.0,0.9321533923303836
434,3.3000000000000003,35.0,2.7,-0.7,0.9321533923303836
435,-0.4,24.0,0.3,3.4000000000000004,0.9321533923303836
436,1.5,25.0,-0.4,0.3,0.9321533923303836
437,2.8000000000000003,26.0,1.5,-0.4,0.9321533923303836
438,3.7,27.0,2.8000000000000003,1.5,0.9321533923303836
439,2.9,28.0,3.7,2.8000000000000003,0.9321533923303836
440,6.1,29.0,2.9,3.7,0.9321533923303836
441,2.4,30.0,6.1,2.9,0.9321533923303836
442,0.1,31.0,2.4,6.1,0.9321533923303836
443,-1.0,32.0,0.1,2.4,0.9321533923303836
444,-0.7,33.0,-1.0,0.1,0.9321533923303836
