,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
51,Corban Joseph\josepco01,32,3,,0.113,,,,,,Arb,Arb,Arb,"[0.0, -0.2, -0.4]","[2.0, 14.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2018, 2019]",False,
52,Humberto Arteaga\arteahu01,27,1st,,0.102,,,,,,Arb,Arb,Arb,[-0.7],[41.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],False,
53,Sterling Sharp\sharpst01,26,1st,,0.1,,,,,,Arb,Arb,Arb,[-0.3],[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
54,Raudy Read\readra01,27,2,Amateur Free Agent,0.08,,,,,,Arb,Arb,Arb,"[0.0, -0.2]","[8.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2019]",False,
55,Paolo Espino\espinpa01,34,3,Free Agency,0.078,,,,,,Arb,Arb,Arb,"[-0.1, 0.1, 0.30000000000000004]","[12.0, 2.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2020, 2021]",True,0.08333333333333333
56,Jake Noll\nollja01,27,2,Amateur Draft,0.056,,,,,,Arb,Arb,Arb,"[-0.1, -0.1]","[8.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",False,
57,Rafael Bautista\bautira01,28,2,Free Agency,0.05,Wasserman,,,,,Arb,Arb,Arb,"[-0.2, -0.2]","[17.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018]",False,
58,Yadiel Hernández\hernaya01,33,2,Amateur Free Agent,0.047,,,,,,Arb,Arb,Arb,"[-0.1, 0.1]","[12.0, 41.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
59,Tres Barrera\barretr01,26,2,Amateur Draft,0.022,,,,,,Arb,Arb,Arb,"[-0.1, 0.0]","[2.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
60,Andres Machado\machaan02,28,1st,,0.032,,,,,,Arb,Arb,Arb,[-0.3],[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2017],True,0.0
