Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
74,2007,LAD,NL,82,80,.506,162,6282,-85,-4,9,-5,56,-28,-4.0,183,155,13.5,.499,.499,14.3,-0.7,160,$108059524
75,2006,HOU,NL,82,80,.506,162,6326,-100,-1,2,44,60,5,-0.8,187,192,17.1,.500,.500,12.9,4.3,148,$81525416
76,2005,SDP,NL,82,80,.506,162,6271,-8,-7,-2,-39,53,-3,-1.6,184,181,16.3,.500,.500,20.6,-4.4,220,$62623833
77,2008,CLE,AL,81,81,.500,162,6299,29,4,-2,25,-6,52,6.8,232,283,29.0,.503,.503,25.8,3.2,258,$78970066
78,2005,MIL,NL,81,81,.500,162,6156,-31,-8,-9,-9,58,2,-1.1,179,181,16.4,.500,.500,17.5,-1.0,190,$39934833
79,2005,WSN,NL,81,81,.500,162,6142,-90,-20,-2,-3,60,-56,-7.0,179,124,10.4,.498,.498,11.0,-0.4,126,$47937000
80,2009,MIL,NL,80,82,.494,162,6296,26,-6,0,2,58,81,7.1,183,264,25.1,.504,.504,24.8,0.5,262,$81384502
81,2006,CIN,NL,80,82,.494,162,6296,-76,7,-4,-47,64,-56,-6.6,185,129,11.1,.498,.498,15.9,-4.5,176,$56819519
82,2006,TEX,AL,80,82,.494,162,6273,8,-5,-4,9,-4,3,1.0,226,230,22.7,.500,.500,21.9,0.9,221,$67897662
83,2005,TOR,AL,80,82,.494,162,6233,-46,0,4,62,-8,13,1.4,232,245,23.7,.501,.501,17.7,5.9,183,$45719500
84,2009,CHW,AL,79,83,.488,162,6132,-92,-6,-2,-25,-7,-132,-12.3,228,96,9.3,.492,.492,11.9,-2.6,121,$100081000
85,2008,TEX,AL,79,83,.488,162,6478,115,9,2,-44,-7,75,9.2,235,311,31.8,.504,.504,35.4,-3.9,354,$67316996
86,2007,MIN,AL,79,83,.488,162,6161,-46,11,2,14,-4,-23,-1.8,228,205,19.9,.499,.499,18.6,1.3,191,$70649500
