Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,playerId
"Triston McKenzie","CLE","RHP",,51,2,,"50",2020,"Medium","20","6' 5""","160","R","R","1st rd 2015","Royal Palm Beach HS (FL)","SaiUEE5AOzQ","sa874760"
"Monte Harrison","MIA","CF","AAA",52,2,,"50",2020,"High","22","6' 3""","220","R","R","2nd rd 2014","Lee's Summit West HS (MO)","RRzOrr9b4V8","sa828691"
"Colin Moran","PIT","3B","MLB",53,3,,"50",2018,"Low","25","6' 4""","204","L","R","1st rd 2013","North Carolina","","16909"
"Yadier Alvarez","LAD","RHP",,54,3,,"50",2020,"High","22","6' 3""","175","R","R","J2 2015","Cuba","GPeREXyoEzQ","sa868984"
"Austin Riley","ATL","3B","MLB",55,7,,"50",2018,"Medium","19","6' 2""","220","R","R","1st rd 2015","DeSoto Central HS (MS)","U7WhBMK_uYA","18360"
"Ke'Bryan Hayes","PIT","3B",,56,4,,"50",2020,"Medium","20","6' 1""","210","R","R","1st rd 2015","Concordia Lutheran (TX)","VAR1hcC2Clk","sa874730"
"Taylor Trammell","CIN","OF","AA",57,3,,"50",2021,"Medium","20","6' 2""","195","L","L","1st rd 2016","Mount Paran HS (GA)","q4xKSJPOmr4","sa917943"
"Jorge Mateo","OAK","CF","AAA",58,3,,"50",2018,"High","22","6' 0""","188","R","R","J2 2011","Dominican Republic","E87r8QWTQ8c","sa657910"
"Albert Abreu","NYY","RHP",,59,4,,"50",2019,"High","22","6' 2""","175","R","R","J2 2013","Dominican Republic","8UBks6qnE-Q","sa828366"
"Touki Toussaint","ATL","RHP",,60,8,,"50",2018,"High","20","6' 3""","185","R","R","1st rd 2014","Coral Springs Christian HS (FL)","qaR9D8rYrhY","16929"
"Tyler O'Neill","STL","OF","MLB",61,2,,"50",2018,"Medium","22","5' 11""","210","R","R","3rd rd 2013","Maple Ridge HS (CAN)","65VN9HWZNW0","15711"
"Anderson Espinoza","SDP","RHP","A",62,5,,"50",2019,"High","19","6' 0""","170","R","R","J2 2014","Venezuela","LMN6OIaQsEA","sa872856"
"Dustin Fowler","OAK","CF",,63,4,,"50",2018,"Low","23","6' 0""","195","L","L","18th rd 2013","West Laurens HS (GA)","FLb3S3KNFvk","17098"
"Will Smith","LAD","C","MLB",64,4,,"50",2019,"Medium","23","6' 0""","192","R","R","1st rd 2016","Louisville","PAOgaHuSvPg","19197"
"Jack Flaherty","STL","RHP","MLB",65,3,,"50",2018,"Low","22","6' 4""","205","R","R","1st rd 2014","Harvard Westlake HS (CA)","vSy5LD5ZWXk","17479"
"Jo Adell","LAA","OF","AAA",66,2,,"50",2021,"High","18","6' 2""","195","R","R","1st rd 2017","Ballard HS (KY)","tpQIfgNoqIE","sa3004837"
"Jorge Guzman","MIA","RHP","AA",67,3,,"50",2021,"High","22","6' 2""","182","R","R","J2 2013","Dominican Republic","97COg64IK0I","sa872759"
"Tristen Lutz","MIL","OF","A+",68,3,,"50",2020,"High","19","6' 3""","210","R","R","1st rd 2017","Martin HS (TX)","HD5Gdv4-45Q","sa3004968"
"Jahmai Jones","LAA","CF",,69,3,,"50",2020,"Low","20","5' 11""","210","R","R","2nd rd 2015","Wesleyan HS (GA)","p2KH9PAlrjM","sa874807"
